date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,107.1,116.0,106.4,115.6,35133800.0
2000-05-12,116.6,119.5,114.8,115.0,19214700.0
2000-05-15,114.6,118.3,112.8,118.1,20552700.0
2000-05-16,119.8,122.9,118.7,121.9,22234200.0
2000-05-17,122.4,125.4,120.4,123.2,32771600.0
2000-05-18,123.9,126.5,123.1,123.9,25070700.0
2000-05-19,121.9,123.6,116.3,117.9,35984000.0
2000-05-22,117.5,118.6,111.4,118.4,29624800.0
2000-05-23,117.8,119.9,109.8,109.9,25192900.0
2000-05-24,109.6,118.2,109.5,117.4,37741100.0
2000-05-25,118.7,122.3,113.6,115.2,25244400.0
2000-05-26,115.0,119.9,114.4,117.6,15425500.0
2000-05-30,119.3,125.9,119.1,125.8,20884000.0
2000-05-31,126.3,127.9,124.8,125.6,27044800.0
2000-06-01,126.2,130.0,126.1,129.7,22989200.0
2000-06-02,132.8,134.6,132.0,134.2,21328700.0
2000-06-05,132.6,135.0,131.2,132.6,19588000.0
2000-06-06,131.3,135.1,129.5,129.6,23712600.0
2000-06-07,129.3,129.4,125.7,128.9,19876700.0
2000-06-08,129.6,131.5,126.0,126.2,17197000.0
2000-06-09,127.9,128.0,125.5,127.1,13759600.0
2000-06-12,127.8,128.0,124.6,125.1,12973500.0
2000-06-13,124.5,131.9,124.1,131.5,19563300.0
2000-06-14,130.9,131.3,126.0,126.4,18504400.0
2000-06-15,126.7,130.1,126.5,128.3,16705500.0
2000-06-16,129.3,129.7,125.9,126.1,22043100.0
2000-06-19,128.4,136.7,128.4,136.5,30610600.0
2000-06-20,135.9,140.3,135.9,138.3,29289700.0
2000-06-21,136.4,139.3,136.1,139.0,16445700.0
2000-06-22,138.0,138.4,134.0,134.1,14848100.0
2000-06-23,135.3,137.5,134.1,134.4,15160800.0
2000-06-26,135.8,137.2,132.6,134.2,14952400.0
2000-06-27,133.9,136.5,131.3,131.4,16685200.0
2000-06-28,131.9,135.7,131.0,132.4,15315900.0
2000-06-29,131.1,134.4,130.9,131.8,23568100.0
2000-06-30,130.9,134.1,129.6,133.7,20715600.0
2000-07-03,134.1,136.9,133.7,136.9,7541900.0
2000-07-05,133.1,134.5,131.4,131.6,21002600.0
2000-07-06,131.5,136.8,131.4,136.6,22453100.0
2000-07-07,137.8,139.9,136.1,139.3,18643400.0
2000-07-10,137.8,140.0,137.0,137.8,15674700.0
2000-07-11,138.3,141.3,137.1,138.8,21391000.0
2000-07-12,140.3,142.3,138.8,141.2,14912100.0
2000-07-13,140.4,145.0,140.3,143.2,22588000.0
2000-07-14,144.0,147.1,143.1,146.7,18735900.0
2000-07-17,146.6,147.5,144.4,146.3,23290000.0
2000-07-18,144.8,144.8,141.4,143.0,25341800.0
2000-07-19,144.9,146.1,138.0,138.1,36094200.0
2000-07-20,138.9,143.3,137.9,142.7,30244200.0
2000-07-21,142.1,142.3,138.1,138.2,16043300.0
2000-07-24,138.2,142.0,137.6,138.0,19917700.0
2000-07-25,138.7,141.9,137.7,140.9,14811600.0
2000-07-26,139.0,140.1,136.6,139.0,23319900.0
2000-07-27,138.5,140.4,136.0,137.0,19611900.0
2000-07-28,138.0,139.4,128.8,129.1,27716900.0
2000-07-31,65.44,67.56,64.5,66.75,15235350.0
2000-08-01,67.06,67.38,64.25,64.63,25001100.0
2000-08-02,65.25,66.13,63.19,63.31,33226800.0
2000-08-03,61.81,65.38,60.56,65.06,34941100.0
2000-08-04,66.22,66.25,61.44,62.56,34939700.0
2000-08-07,62.63,64.38,61.13,62.94,30634400.0
2000-08-08,62.75,63.38,61.5,61.63,24900100.0
2000-08-09,62.88,64.88,62.84,63.56,30071900.0
2000-08-10,63.19,64.81,62.0,62.0,16678400.0
2000-08-11,61.88,64.13,60.81,63.81,22509600.0
2000-08-14,64.44,67.0,63.63,66.94,25665000.0
2000-08-15,66.81,68.75,66.0,67.88,34464300.0
2000-08-16,68.63,69.5,68.0,68.69,24609500.0
2000-08-17,68.5,71.5,68.44,70.06,40495900.0
2000-08-18,71.0,72.94,70.25,70.56,35795600.0
2000-08-21,72.67,74.06,70.56,72.06,46024300.0
2000-08-22,72.47,73.56,72.13,72.13,31693500.0
2000-08-23,71.44,74.88,70.69,74.63,36177000.0
2000-08-24,74.56,74.63,73.0,74.25,23352900.0
2000-08-25,73.88,74.44,72.63,72.94,20844200.0
2000-08-28,73.25,75.81,73.0,73.88,42760500.0
2000-08-29,73.31,74.94,73.13,74.06,23023100.0
2000-08-30,73.75,74.38,72.75,73.5,21770400.0
2000-08-31,73.88,75.63,73.63,74.88,28530700.0
2000-09-01,75.63,75.69,73.44,73.94,18322000.0
2000-09-05,71.06,71.38,68.25,69.25,58396000.0
2000-09-06,68.06,68.5,65.0,65.7,62344900.0
2000-09-07,66.61,68.69,66.25,67.44,34716000.0
2000-09-08,67.19,67.44,64.94,65.38,29681800.0
2000-09-11,65.56,66.88,63.94,64.69,30507800.0
2000-09-12,65.06,66.94,64.56,64.94,28997300.0
2000-09-13,61.69,63.31,60.5,61.25,70068400.0
2000-09-14,62.5,62.88,59.25,59.63,50489200.0
2000-09-15,59.69,59.88,56.63,57.52,75675900.0
2000-09-18,58.38,59.25,55.5,55.81,50767100.0
2000-09-19,57.19,60.5,56.81,60.38,58855100.0
2000-09-20,61.25,63.5,60.44,63.06,70335900.0
2000-09-21,62.06,62.94,60.38,61.48,57112300.0
2000-09-22,46.75,49.5,46.5,47.94,308734400.0
2000-09-25,50.06,50.2,44.75,45.38,130214700.0
2000-09-26,46.44,46.5,42.81,43.31,112681600.0
2000-09-27,44.63,45.69,43.44,43.88,80365100.0
2000-09-28,44.13,44.56,43.48,44.44,66739000.0
2000-09-29,43.81,43.88,41.38,41.56,72985600.0
2000-10-02,42.94,42.94,39.88,40.13,66785700.0
2000-10-03,41.77,42.5,40.13,40.31,81206500.0
2000-10-04,41.0,42.75,40.75,42.0,63726000.0
2000-10-05,42.13,42.38,40.5,41.0,52072400.0
2000-10-06,41.38,42.25,39.25,39.94,69734600.0
2000-10-09,40.44,40.53,38.0,39.06,56544700.0
2000-10-10,39.19,40.13,37.44,37.56,68882800.0
2000-10-11,37.0,38.13,35.0,35.38,122056600.0
2000-10-12,37.13,38.5,35.0,37.13,100212800.0
2000-10-13,37.11,40.75,36.94,40.38,80908800.0
2000-10-16,39.13,39.19,35.38,35.69,92057900.0
2000-10-17,36.38,36.63,35.0,36.19,78642100.0
2000-10-18,36.25,39.81,35.25,38.19,16790000.0
2000-10-19,42.02,42.31,40.88,41.94,64250700.0
2000-10-20,41.63,44.38,41.38,43.06,59899600.0
2000-10-23,43.69,45.0,42.38,43.31,43746200.0
2000-10-24,43.63,44.5,41.63,42.0,46937000.0
2000-10-25,42.0,43.56,41.14,41.31,53225900.0
2000-10-26,42.0,45.0,41.69,44.69,50811900.0
2000-10-27,45.88,47.0,44.84,46.38,50197800.0
2000-10-30,45.95,46.13,43.88,45.0,49111200.0
2000-10-31,45.69,46.94,44.69,45.0,55793900.0
2000-11-01,44.31,46.56,44.19,44.88,47654600.0
2000-11-02,46.5,47.88,46.38,46.69,65511800.0
2000-11-03,47.13,47.25,45.5,45.94,31103600.0
2000-11-06,46.63,47.38,46.38,46.56,24583500.0
2000-11-07,46.75,46.81,45.31,46.19,21043200.0
2000-11-08,46.25,46.31,42.44,42.69,38074100.0
2000-11-09,42.31,42.38,39.94,41.38,48864700.0
2000-11-10,38.0,38.81,37.0,37.0,94080100.0
2000-11-13,37.0,39.75,36.0,38.19,81393300.0
2000-11-14,40.5,41.25,39.44,40.94,48677100.0
2000-11-15,41.69,42.88,40.75,41.5,41961500.0
2000-11-16,41.25,42.94,39.77,40.0,39523700.0
2000-11-17,40.13,41.75,39.5,41.5,40986100.0
2000-11-20,41.0,42.94,40.63,41.13,37495900.0
2000-11-21,42.44,43.38,41.44,42.63,36760300.0
2000-11-22,42.25,43.88,41.06,41.19,36702700.0
2000-11-24,42.81,44.0,42.0,43.94,20684000.0
2000-11-27,45.44,46.75,43.81,43.94,52923300.0
2000-11-28,43.19,44.63,42.0,42.03,49700800.0
2000-11-29,42.38,43.5,40.94,42.75,61411300.0
2000-11-30,38.5,38.94,36.81,38.06,78955300.0
2000-12-01,38.5,38.5,33.81,34.13,1155400.0
2000-12-04,35.13,35.34,32.06,32.94,82755800.0
2000-12-05,34.63,36.5,34.0,36.0,75071400.0
2000-12-06,35.31,35.31,31.25,31.75,102012000.0
2000-12-07,32.44,33.25,31.44,32.31,68263600.0
2000-12-08,34.75,34.88,33.0,34.0,88021400.0
2000-12-11,35.13,38.19,34.31,37.44,73069600.0
2000-12-12,36.94,37.92,36.38,36.5,48167200.0
2000-12-13,37.75,37.88,35.19,35.5,48719800.0
2000-12-14,35.56,36.63,34.5,35.13,33708000.0
2000-12-15,34.56,34.75,32.31,32.44,80843900.0
2000-12-18,34.19,34.5,32.42,33.25,38556100.0
2000-12-19,33.75,36.25,33.31,33.44,54732300.0
2000-12-20,32.94,34.13,31.5,31.94,63150800.0
2000-12-21,32.0,34.45,31.63,33.13,51590000.0
2000-12-22,33.63,35.0,32.0,32.94,45424100.0
2000-12-26,33.12,33.88,32.0,32.88,28436200.0
2000-12-27,32.69,33.69,32.31,32.56,33621500.0
2000-12-28,32.13,32.69,30.06,30.94,49339500.0
2000-12-29,30.94,31.44,29.81,30.06,54053600.0
2001-01-02,30.69,31.88,30.25,31.06,50342900.0
2001-01-03,30.13,34.63,30.13,34.23,78291900.0
2001-01-04,34.0,35.38,32.69,33.8,68769000.0
2001-01-05,34.06,34.63,31.75,32.06,44974700.0
2001-01-08,31.5,32.31,30.63,31.94,45070800.0
2001-01-09,32.53,32.94,31.88,32.25,40814400.0
2001-01-10,31.63,33.38,31.13,33.0,51494300.0
2001-01-11,32.38,34.25,32.0,33.38,64954600.0
2001-01-12,33.56,33.81,31.81,32.13,51374500.0
2001-01-16,32.19,32.38,31.0,31.38,60301100.0
2001-01-17,33.0,33.06,30.13,30.5,7427400.0
2001-01-18,30.94,32.31,30.0,32.19,86633300.0
2001-01-19,33.38,34.63,32.31,33.56,81348900.0
2001-01-22,32.69,33.88,32.5,33.38,45756600.0
2001-01-23,33.44,35.89,32.75,35.38,84553900.0
2001-01-24,35.69,37.06,35.19,36.25,73579100.0
2001-01-25,35.81,36.06,34.31,34.5,45890400.0
2001-01-26,34.13,36.06,33.75,35.88,48063700.0
2001-01-29,35.25,37.38,34.75,37.06,49092800.0
2001-01-30,37.38,38.19,36.81,37.0,60806400.0
2001-01-31,37.31,38.59,36.5,37.0,71894200.0
2001-02-01,37.06,37.94,36.5,37.81,50297000.0
2001-02-02,37.67,38.23,35.5,35.69,47151200.0
2001-02-05,35.06,35.31,33.67,34.69,39185100.0
2001-02-06,34.56,35.94,34.48,35.44,40329200.0
2001-02-07,35.0,36.06,33.88,34.94,53148000.0
2001-02-08,35.38,36.13,34.56,34.63,42899000.0
2001-02-09,34.31,35.56,33.44,33.5,40892100.0
2001-02-12,33.69,35.19,33.63,34.56,30482000.0
2001-02-13,34.13,35.25,32.38,32.44,41910800.0
2001-02-14,32.56,34.55,31.94,34.13,47442300.0
2001-02-15,35.44,36.5,35.13,35.81,58334500.0
2001-02-16,34.75,35.31,33.63,34.38,41543900.0
2001-02-20,34.06,34.13,31.38,31.44,52397300.0
2001-02-21,31.0,32.75,30.5,30.75,51582200.0
2001-02-22,30.94,31.56,29.63,30.0,58517400.0
2001-02-23,30.38,30.75,28.5,29.94,63558300.0
2001-02-26,30.56,30.7,28.44,29.5,60349600.0
2001-02-27,29.5,30.88,29.0,29.0,40787300.0
2001-02-28,29.38,30.19,28.0,28.56,48601400.0
2001-03-01,28.25,29.25,27.06,29.13,56268300.0
