date,1. open,2. high,3. low,4. close,5. volume
2000-05-11,86.38,86.94,85.88,86.06,2318100.0
2000-05-12,86.13,86.19,84.69,85.5,2037100.0
2000-05-15,85.25,87.0,85.13,86.25,2238600.0
2000-05-16,86.5,87.44,86.25,87.31,2582700.0
2000-05-17,87.06,87.69,85.63,87.06,1753600.0
2000-05-18,86.88,89.0,86.81,88.5,3044400.0
2000-05-19,88.81,89.63,86.88,88.75,3537000.0
2000-05-22,89.63,89.69,85.19,86.88,3067400.0
2000-05-23,87.88,88.19,86.13,87.0,2805500.0
2000-05-24,87.69,90.0,87.25,89.94,4107200.0
2000-05-25,89.25,89.5,87.69,89.31,2264000.0
2000-05-26,89.5,89.81,87.88,88.13,1547600.0
2000-05-30,88.19,88.94,87.13,88.94,2107200.0
2000-05-31,89.19,89.5,88.25,89.5,2195600.0
2000-06-01,89.25,89.5,87.25,87.69,2615900.0
2000-06-02,87.5,87.5,82.5,84.0,4675700.0
2000-06-05,83.5,85.25,82.56,84.0,2658300.0
2000-06-06,83.5,84.75,83.0,84.13,1598300.0
2000-06-07,85.06,85.44,83.69,83.69,2049100.0
2000-06-08,83.69,84.94,82.88,84.88,1842700.0
2000-06-09,85.0,87.5,84.81,86.13,2052600.0
2000-06-12,86.75,87.38,84.69,84.77,1899100.0
2000-06-13,85.75,88.5,85.56,88.0,2698300.0
2000-06-14,89.38,89.88,88.63,89.75,2745100.0
2000-06-15,90.0,91.0,89.44,90.63,3984800.0
2000-06-16,90.06,90.44,89.38,89.56,3671700.0
2000-06-19,89.75,90.31,89.06,90.19,1782400.0
2000-06-20,90.38,90.44,88.06,88.56,2178200.0
2000-06-21,88.75,90.44,88.75,89.88,2554600.0
2000-06-22,89.75,89.75,88.25,88.56,1994300.0
2000-06-23,88.81,89.94,88.69,89.75,1919000.0
2000-06-26,92.38,95.5,92.06,95.5,7892100.0
2000-06-27,95.31,98.19,95.25,97.94,7392000.0
2000-06-28,97.0,98.31,96.81,98.08,4391600.0
2000-06-29,98.0,99.38,97.31,98.56,4303700.0
2000-06-30,98.0,102.0,96.44,101.9,8043300.0
2000-07-03,101.3,101.3,99.94,101.1,2385100.0
2000-07-05,100.8,101.4,99.88,101.0,3652200.0
2000-07-06,100.0,100.4,99.19,99.69,2894900.0
2000-07-07,99.5,100.9,99.31,99.75,3249100.0
2000-07-10,100.8,100.9,99.81,100.2,2173000.0
2000-07-11,99.38,100.4,99.0,100.2,3390900.0
2000-07-12,99.25,99.56,98.0,98.06,2835900.0
2000-07-13,97.5,97.56,95.0,95.25,3825300.0
2000-07-14,92.75,92.81,91.06,91.81,6288800.0
2000-07-17,93.0,95.75,92.5,94.34,4401600.0
2000-07-18,94.44,95.44,94.38,95.0,4142400.0
2000-07-19,94.88,95.69,92.75,93.19,2682300.0
2000-07-20,93.25,93.25,91.63,91.88,2969600.0
2000-07-21,91.88,93.44,91.0,92.25,3808900.0
2000-07-24,92.31,95.38,92.31,94.45,2838000.0
2000-07-25,94.56,94.75,92.75,93.5,2936600.0
2000-07-26,93.5,93.5,90.25,90.25,3675500.0
2000-07-27,90.75,92.94,90.63,91.86,3289400.0
2000-07-28,92.88,93.69,92.19,93.66,2418600.0
2000-07-31,93.69,93.94,92.5,93.06,3165800.0
2000-08-01,92.5,95.0,92.38,94.81,2519900.0
2000-08-02,94.94,96.69,94.25,96.5,2487100.0
2000-08-03,96.25,97.38,96.13,97.0,2855300.0
2000-08-04,96.63,96.69,95.31,96.56,2031300.0
2000-08-07,97.5,97.5,95.94,96.86,1905600.0
2000-08-08,96.5,97.5,95.69,96.67,2297500.0
2000-08-09,96.56,97.19,93.63,94.81,3543100.0
2000-08-10,95.75,97.88,95.25,97.41,2869200.0
2000-08-11,97.5,98.88,97.13,97.84,2243800.0
2000-08-14,98.0,98.38,96.56,97.31,1427800.0
2000-08-15,96.75,97.31,95.81,96.09,1646000.0
2000-08-16,96.88,98.19,96.75,97.94,1610000.0
2000-08-17,98.0,98.13,96.56,97.0,2360500.0
2000-08-18,97.0,97.25,95.31,96.42,2738400.0
2000-08-21,97.0,97.75,96.5,97.0,1833100.0
2000-08-22,97.19,97.88,96.81,97.75,1609200.0
2000-08-23,97.69,97.94,95.75,96.94,1717100.0
2000-08-24,95.75,96.56,95.5,96.25,1651300.0
2000-08-25,95.63,96.19,94.81,95.44,1850000.0
2000-08-28,94.5,96.56,94.19,94.75,2580400.0
2000-08-29,94.0,94.19,92.81,93.0,1950700.0
2000-08-30,92.0,92.81,91.25,91.25,2098800.0
2000-08-31,93.13,93.88,91.63,91.96,2351200.0
2000-09-01,92.5,92.94,91.88,92.63,1520200.0
2000-09-05,92.63,93.44,91.31,93.25,2649100.0
2000-09-06,94.0,94.0,93.06,93.25,2807200.0
2000-09-07,93.31,93.88,92.63,93.44,1319200.0
2000-09-08,93.0,94.5,93.0,94.46,1904200.0
2000-09-11,94.69,95.44,94.69,95.01,2047500.0
2000-09-12,96.13,96.64,95.38,96.63,1958700.0
2000-09-13,96.63,97.81,96.56,97.63,2447100.0
2000-09-14,97.56,97.56,95.81,95.94,2079600.0
2000-09-15,95.44,95.94,94.94,95.0,3132400.0
2000-09-18,92.75,93.75,91.88,92.13,3821400.0
2000-09-19,91.81,92.5,91.19,91.81,1969200.0
2000-09-20,91.88,92.75,90.31,91.08,2728700.0
2000-09-21,91.06,94.5,91.06,94.25,2924800.0
2000-09-22,95.5,96.56,94.61,95.88,2757700.0
2000-09-25,95.81,96.44,94.81,95.86,1989100.0
2000-09-26,95.81,96.31,93.56,94.5,2276100.0
2000-09-27,94.44,95.69,93.44,95.09,2153900.0
2000-09-28,95.31,96.44,92.94,93.38,3150600.0
2000-09-29,93.25,95.19,92.75,93.94,2630800.0
2000-10-02,94.19,94.25,92.25,93.19,2103600.0
2000-10-03,93.06,93.81,91.94,92.5,2198800.0
2000-10-04,92.0,93.75,90.31,90.31,3425000.0
2000-10-05,91.5,93.75,91.13,93.06,3236100.0
2000-10-06,92.94,94.13,91.25,92.31,2336400.0
2000-10-09,92.31,93.0,91.25,91.31,1457000.0
2000-10-10,92.38,95.0,91.56,94.63,3051800.0
2000-10-11,95.19,96.25,94.38,96.0,3941100.0
2000-10-12,95.81,97.5,94.63,97.0,4639300.0
2000-10-13,97.13,97.5,95.63,95.81,4552800.0
2000-10-16,95.81,97.31,95.38,96.94,2800800.0
2000-10-17,96.0,97.44,95.38,97.06,4512100.0
2000-10-18,95.5,96.75,94.06,94.25,3524400.0
2000-10-19,92.5,93.56,90.88,91.75,5479500.0
2000-10-20,91.5,92.75,91.06,91.88,3126000.0
2000-10-23,92.0,93.38,91.56,91.56,3605400.0
2000-10-24,91.63,92.44,90.63,91.69,3074800.0
2000-10-25,91.69,94.94,91.56,93.94,3819800.0
2000-10-26,93.75,94.88,93.06,93.13,2484700.0
2000-10-27,92.94,93.81,92.25,92.75,1953500.0
2000-10-30,93.63,94.56,92.81,94.38,2194000.0
2000-10-31,93.88,93.88,91.5,92.13,3487800.0
2000-11-01,92.0,92.19,89.25,91.0,4723200.0
2000-11-02,91.5,91.56,89.19,89.88,4693800.0
2000-11-03,90.25,92.19,89.31,91.69,2916300.0
2000-11-06,92.06,92.94,91.5,92.06,2911300.0
2000-11-07,92.0,92.88,90.75,92.13,2461300.0
2000-11-08,92.94,94.75,92.94,93.44,3068100.0
2000-11-09,93.44,94.31,91.0,93.56,2833100.0
2000-11-10,93.38,95.44,92.88,94.44,3034800.0
2000-11-13,94.19,95.31,92.25,93.06,3179900.0
2000-11-14,92.94,94.63,91.88,94.63,2672200.0
2000-11-15,94.25,95.0,93.75,95.0,2092800.0
2000-11-16,95.0,95.06,93.38,94.19,1796200.0
2000-11-17,94.69,95.25,94.25,95.13,2645900.0
2000-11-20,95.13,96.94,95.13,96.19,2754000.0
2000-11-21,96.5,97.88,95.75,97.75,3617000.0
2000-11-22,96.0,97.25,95.5,96.5,2747300.0
2000-11-24,96.5,96.5,94.0,95.06,1498900.0
2000-11-27,95.38,97.5,94.31,97.38,2738700.0
2000-11-28,97.94,100.1,97.5,100.1,5592600.0
2000-11-29,99.63,100.8,99.63,100.3,3774600.0
2000-11-30,100.3,103.0,99.75,100.0,7464000.0
2000-12-01,99.25,100.0,96.69,97.75,5212300.0
2000-12-04,95.88,100.0,95.88,99.56,3031200.0
2000-12-05,99.75,99.75,97.75,99.5,3130800.0
2000-12-06,97.75,98.75,95.56,96.13,4185900.0
2000-12-07,97.5,98.0,96.19,97.06,2498200.0
2000-12-08,95.63,97.19,95.63,96.38,3186900.0
2000-12-11,96.0,97.0,95.25,95.63,2916800.0
2000-12-12,95.56,98.0,95.5,97.0,3262500.0
2000-12-13,98.0,99.63,97.63,98.69,3767800.0
2000-12-14,98.75,99.44,97.69,99.25,3500600.0
2000-12-15,99.25,100.0,98.56,98.56,5795800.0
2000-12-18,98.56,99.19,97.31,98.56,2937600.0
2000-12-19,98.63,99.94,98.56,99.19,2251700.0
2000-12-20,99.44,101.7,99.38,100.6,4800900.0
2000-12-21,100.3,101.9,100.0,101.0,5449800.0
2000-12-22,101.4,102.0,100.6,101.5,3490200.0
