date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-29,40.69,41.5,40.5,40.94,26.5761,3364100.0,0.0,1.0
2000-06-30,41.0,42.25,41.0,41.81,27.1408,4823600.0,0.0,1.0
2000-07-03,41.63,41.94,41.44,41.69,27.0629,1232300.0,0.0,1.0
2000-07-05,42.13,43.38,42.06,42.81,27.79,4990900.0,0.0,1.0
2000-07-06,42.88,43.19,42.56,43.0,27.9133,3665200.0,0.0,1.0
2000-07-07,43.13,44.06,43.06,43.75,28.4002,4256800.0,0.0,1.0
2000-07-10,43.88,44.0,43.0,43.0,27.9133,2834200.0,0.0,1.0
2000-07-11,43.13,44.75,43.06,44.31,28.7637,3815200.0,0.0,1.0
2000-07-12,43.94,44.38,43.69,43.88,28.4846,2228800.0,0.0,1.0
2000-07-13,44.13,45.0,44.13,44.56,28.926,3452700.0,0.0,1.0
2000-07-14,44.75,45.13,44.31,44.44,28.8481,3472100.0,0.0,1.0
2000-07-17,44.44,44.44,43.44,43.97,28.543,2497700.0,0.0,1.0
2000-07-18,44.0,45.25,43.31,45.13,29.296,4783100.0,0.0,1.0
2000-07-19,45.0,46.19,44.06,45.88,29.7829,7490900.0,0.0,1.0
2000-07-20,46.0,46.25,45.19,46.06,29.8997,5034000.0,0.0,1.0
2000-07-21,46.0,47.31,45.81,46.81,30.3866,7622000.0,0.0,1.0
2000-07-24,46.69,48.25,46.69,48.13,31.2434,5027400.0,0.0,1.0
2000-07-25,48.0,50.25,47.88,48.63,31.568,8836600.0,0.0,1.0
2000-07-26,49.0,49.44,47.69,48.0,31.159,5444400.0,0.0,1.0
2000-07-27,48.25,49.44,48.19,48.25,31.3213,3898500.0,0.0,1.0
2000-07-28,48.19,49.13,47.94,48.81,31.6849,3930300.0,0.0,1.0
2000-07-31,48.5,49.25,48.44,48.81,31.6849,4481100.0,0.0,1.0
2000-08-01,48.88,49.5,48.69,48.69,31.607,3226800.0,0.0,1.0
2000-08-02,48.88,49.94,48.88,49.88,32.3794,4383700.0,0.0,1.0
2000-08-03,49.56,49.94,48.81,49.0,31.8082,3226900.0,0.0,1.0
2000-08-04,49.0,49.13,48.31,49.0,31.8082,2419800.0,0.0,1.0
2000-08-07,48.94,49.5,48.5,49.06,31.8471,2113900.0,0.0,1.0
2000-08-08,48.63,49.19,48.38,48.56,31.5226,3384000.0,0.0,1.0
2000-08-09,48.63,48.63,47.13,47.75,31.0876,4282500.0,0.14,1.0
2000-08-10,47.56,48.88,47.56,48.88,31.8233,2544700.0,0.0,1.0
2000-08-11,48.5,49.94,48.5,49.63,32.3116,3283700.0,0.0,1.0
2000-08-14,49.63,49.88,49.31,49.5,32.227,2855800.0,0.0,1.0
2000-08-15,48.56,48.75,47.25,47.25,30.7621,3963800.0,0.0,1.0
2000-08-16,46.88,46.88,45.88,46.19,30.072,6353200.0,0.0,1.0
2000-08-17,45.88,46.13,45.75,45.88,29.8702,2810800.0,0.0,1.0
2000-08-18,45.94,46.06,45.31,45.69,29.7465,4070600.0,0.0,1.0
2000-08-21,45.94,48.25,45.5,47.75,31.0876,4090800.0,0.0,1.0
2000-08-22,47.75,49.44,47.63,49.31,32.1033,4683200.0,0.0,1.0
2000-08-23,48.88,50.94,48.88,50.56,32.9171,6971500.0,0.0,1.0
2000-08-24,50.25,54.0,50.19,53.63,34.9158,10890300.0,0.0,1.0
2000-08-25,53.5,54.5,53.38,54.13,35.2413,7671400.0,0.0,1.0
2000-08-28,53.38,54.0,52.94,53.25,34.6684,4972200.0,0.0,1.0
2000-08-29,52.94,53.13,52.25,52.31,34.0564,4000400.0,0.0,1.0
2000-08-30,52.13,53.0,51.94,52.5,34.1801,3673400.0,0.0,1.0
2000-08-31,52.25,54.88,52.25,53.64,34.9223,3762800.0,0.0,1.0
2000-09-01,53.81,56.25,53.75,54.75,35.645,5092500.0,0.0,1.0
2000-09-05,54.0,56.25,54.0,55.44,36.0942,3704900.0,0.0,1.0
2000-09-06,55.63,58.63,55.56,57.81,37.6372,7974100.0,0.0,1.0
2000-09-07,57.0,59.94,57.0,58.5,38.0864,10908200.0,0.0,1.0
2000-09-08,58.63,59.0,57.63,58.13,37.8455,6699000.0,0.0,1.0
2000-09-11,57.88,59.44,57.69,58.63,38.1711,4335700.0,0.0,1.0
2000-09-12,58.75,60.06,58.13,59.0,38.412,5650100.0,0.0,1.0
2000-09-13,58.88,60.13,58.75,59.44,38.6984,4108800.0,0.0,1.0
2000-09-14,58.88,58.88,57.69,58.38,38.0083,4277100.0,0.0,1.0
2000-09-15,57.88,59.19,56.75,56.88,37.0317,5906200.0,0.0,1.0
2000-09-18,56.75,58.56,56.63,56.94,37.0708,3178700.0,0.0,1.0
2000-09-19,56.63,57.56,56.25,56.75,36.9471,4221300.0,0.0,1.0
2000-09-20,57.0,60.06,56.94,59.06,38.451,6389400.0,0.0,1.0
2000-09-21,59.5,60.69,59.25,60.0,39.063,6181200.0,0.0,1.0
2000-09-22,59.75,64.31,59.0,63.5,41.3417,6837500.0,0.0,1.0
2000-09-25,63.75,64.31,61.75,63.88,41.5891,5343300.0,0.0,1.0
2000-09-26,63.13,66.94,62.81,66.06,43.0084,7072100.0,0.0,1.0
2000-09-27,65.75,66.5,63.38,64.56,42.0318,7540100.0,0.0,1.0
2000-09-28,63.88,65.38,63.63,64.5,41.9927,6746600.0,0.0,1.0
2000-09-29,62.63,64.5,60.63,64.5,41.9927,5010700.0,0.0,1.0
2000-10-02,61.0,61.25,57.25,58.44,38.0474,9280800.0,0.0,1.0
2000-10-03,59.0,60.31,59.0,59.88,38.9849,5017300.0,0.0,1.0
2000-10-04,59.5,62.44,59.5,61.13,39.7987,5019200.0,0.0,1.0
2000-10-05,61.06,63.0,60.25,61.06,39.7531,4121900.0,0.0,1.0
2000-10-06,61.19,62.19,60.5,61.0,39.7141,3067100.0,0.0,1.0
2000-10-09,60.25,60.69,59.25,59.44,38.6984,2180100.0,0.0,1.0
2000-10-10,59.63,60.13,59.06,59.56,38.7765,2501200.0,0.0,1.0
2000-10-11,59.0,61.25,58.81,60.19,39.1867,2960800.0,0.0,1.0
2000-10-12,59.94,60.31,54.0,56.13,36.5434,8935800.0,0.0,1.0
2000-10-13,56.0,60.31,55.94,58.75,38.2492,4701200.0,0.0,1.0
2000-10-16,59.63,61.06,59.44,60.19,39.1867,2649100.0,0.0,1.0
2000-10-17,60.19,61.44,58.63,60.5,39.3885,2909800.0,0.0,1.0
2000-10-18,58.5,61.5,58.38,60.75,39.5513,4731100.0,0.0,1.0
2000-10-19,61.0,61.19,57.31,58.44,38.0474,6481600.0,0.0,1.0
2000-10-20,58.38,60.25,57.81,60.0,39.063,3795000.0,0.0,1.0
2000-10-23,60.5,62.0,60.06,61.25,39.8768,5692500.0,0.0,1.0
2000-10-24,60.88,61.94,60.63,61.0,39.7141,4174700.0,0.0,1.0
2000-10-25,61.13,63.94,61.13,62.56,40.7297,5929900.0,0.0,1.0
2000-10-26,62.0,63.63,61.88,63.06,41.0552,4459800.0,0.0,1.0
2000-10-27,63.06,63.81,63.0,63.75,41.5044,2632700.0,0.0,1.0
2000-10-30,63.75,65.19,63.69,64.69,42.1164,4779200.0,0.0,1.0
2000-10-31,64.69,67.88,64.06,67.81,44.1477,4700800.0,0.0,1.0
2000-11-01,67.56,67.81,65.13,65.75,42.8065,5589600.0,0.0,1.0
2000-11-02,65.38,67.0,63.81,66.13,43.0539,5114500.0,0.0,1.0
2000-11-03,66.19,66.75,65.5,66.06,43.0084,2743700.0,0.0,1.0
2000-11-06,64.44,66.38,64.0,66.06,43.0084,3610300.0,0.0,1.0
2000-11-07,65.5,65.94,65.06,65.19,42.442,3030800.0,0.0,1.0
2000-11-08,65.19,66.13,64.5,65.0,42.4094,1600600.0,0.14,1.0
2000-11-09,64.88,65.94,64.44,65.69,42.8596,2060100.0,0.0,1.0
2000-11-10,65.44,65.75,63.25,63.5,41.4307,2847400.0,0.0,1.0
2000-11-13,62.13,63.63,61.94,62.81,40.9805,2943400.0,0.0,1.0
2000-11-14,63.06,64.81,63.06,64.38,42.0049,3553800.0,0.0,1.0
2000-11-15,63.75,63.81,62.69,63.56,41.4699,3139900.0,0.0,1.0
2000-11-16,63.56,66.38,63.56,65.81,42.9379,3557500.0,0.0,1.0
2000-11-17,65.75,66.81,65.06,65.38,42.6573,3529100.0,0.0,1.0
2000-11-20,65.0,66.5,65.0,65.56,42.7748,2503900.0,0.0,1.0
2000-11-21,65.31,69.5,65.31,68.63,44.7778,5734000.0,0.0,1.0
